No;Tanggal ;Tweet_clean;Tweet_stemming;Label_sentiment
15;01/08/2025;coretax sangat mulus sebelum subuh itu nyata adanya apa ngajukan jam kerja aja kali ya;coretax mulus subuh nyata ngajukan jam kerja kali;Negative
16;01/08/2025;Kemarin mulai tgl des coretax sudah bisa diakses tapi hanya untuk ganti pass sesuai standart coretax menu untuk perpjakannya mati jadi hanya bisa lihat profil itu pun tidak bisa diubah dan tidak semua wp dapat undangan sosialisasi coretax;kemarin tanggal des coretax akses ganti pass sesuai standart coretax menu perpjakannya mati lihat profil ubah wajib pajak undang sosialisasi coretax;Negative
17;01/08/2025;Iya fpk kak saya sdh coba ikutin tp msh belum valid juga smpai malam ini apakah pengaruh dari lawan transaksi kak Misalnya lawan transaksi blm daftar coretax dan semacamnya;fpk coba ikutin valid malam pengaruh lawan transaksi lawan transaksi daftar coretax macam;Negative
18;01/08/2025;NPWP saya NE dan skrg NPWP saya gabung suami lalu saya adalah karyawan di PT dan akan menggunakan coretax apakah saya bisa login dan impersonate perusahaan pakai NIK saya atau harus NIK suami coretax saya bisa masuk tp alamat email sudah tidak aktif lagi;npwp npwp gabung suami karyawan pt coretax login impersonate usaha pakai nik nik suami coretax masuk alamat email aktif;Neutral
19;01/08/2025;Parah kak kata adekku kalo bukan wajib pajak gede yang protes mau kayang mau jungkir balik kagak bakal didengerin Yang kpp udah mohon sistem lama dibalikin karena capek dimaki maki tapi srimul ttp ngotot coretax jalan katanya;parah adekku wajib pajak gede protes kayang jungkir didengerin kpp sistem dibalikin capek maki maki srimul ngotot coretax jalan;Negative
20;01/08/2025;Pak pak anggaran gede bikin coretax tapi pas pelaksanaanya bisa se bubruk ini Yakin kah pak coretax di develop dengan baik sesuai anggarannya Ini kami para wp sudah hari capek bertarung dengan coretax kalau memang belum siap ya kenapa harus dipaksakan pake sih pak;anggar gede coretax pas pelaksanaanya bubruk kah coretax developmen sesuai anggar wajib pajak capek tarung coretax paksa pakai;Negative
21;01/08/2025;Terlebih jika kami yg di daerah nanya ke AR ttg problem coretax selalu lepas tangan saat nanya KAP KJS tidak ada di menu ebupot coretax Sad min kalo diceritain;daerah nanya ar coretax lepas tangan nanya kap kjs menu ebupot coretax sedih admin diceritain;Negative
22;01/08/2025;min tolong utk upload foto diadakan lagi menu nya di coretax Rasanya saya capek amp lelah dari pagi s d malam hari sudah mencoba berbagai cara supaya bisa tervalidasi pada saat take photo di coretax Tapi hasilnya gagal terus Saya sudah coba di tempat terang dsb;admin tolong upload foto ada menu nya coretax capek lelah pagi s malam coba tervalidasi ambil photo coretax hasil gagal coba terang dsb;Negative
23;01/08/2025;Real banget awal migrasi ke ceisa sering kendala mulu ini ceisa juga ribet lagi ada npwp digit digit lah eh skrg coretax coretax ngadat hari Gabisa bikin fp ngadat jadinya invoice an ini Para pns nya ditanyain katanya sudah ga bisa ngatasin lagi fuck bener tdah;real banget migrasi ceisa kendala ceisa ribet npwp digit digit eh coretax coretax lelet fp lelet invoice an pns nya ditanyain ngatasin fuck tdah;Negative
24;01/08/2025;Krn coretax jd semua aplikasi perpajakan terimbas kak kayanyaa Web  aja loading terus;coretax aplikasi paja imbas kayanyaa situs tunggu;Negative
25;01/08/2025;Habis uang negar utk buat aplikasi ini saya sudah mengingatkan bahwa ini bermasalah Coretax Kerap Bermasalah Wajib Pajak Tak Didenda Jika Telat Terbitkan Faktur Pajak Halaman ;habis uang negar aplikasi masalah coretax kerap masalah wajib pajak denda lambat terbit faktur pajak halaman;Negative
26;25/02/2025;yg mau buat billing coretax buat sekarang pliss akhirnya bisa bikin billing  Alhamdulillah sujud syukur;billing coretax tolong billing alhamdulillah sujud syukur;Positive
27;01/08/2025;Gw berantem sm finance perkara invoice sm FP ga sesuai coretax Kontoll ya mana gue tau Gw gatay diminta FP sesuai ini Gw gapaham kontol finance stop nyusain guaa;antem finance perkara invoice fp sesuai coretax kontoll fp sesuai gapaham kontol finance stop nyusain guaa;Negative
28;01/08/2025;coretax bikin stres gua blm bisa bikin faktur pajak buat invoice januari bejir ntr invoice gua numpuk ga jalan;coretax stres faktur pajak invoice januari bejir ntr invoice tumpuk jalan;Negative
29;01/08/2025;emang awal ini diajarkan untuk SABAR yg banyak ujiannya adalah djp dan coretax;ajar sabar uji djp coretax;Neutral
30;01/08/2025;instruktur Brevet malem ini bilang tiap peralihan wajar masyarakat kesulitan karena belum terbiasa denger penjelasan orientasi CoreTax aku berpikir kayaknya bakal beneran jadi mudah karena ini kayak satu buat berbagai kebutuhan adm pajak itu sendiri semoga ajaa;instruktur brevet malam bilang alih wajar masyarakat sulit biasa denger jelas orientasi coretax pikir kayak beneran mudah kayak butuh administrasi pajak moga;Negative
31;30/01/2025;aku sukanya coretax fp yg masuk realtime gaperlu nunggu dokumen fisik;suka coretax fp masuk realtime gaperlu nunggu dokumen fisik;Positive
32;01/08/2025;Nah ngeri kan bgawalnya faktur ngga bisa cetak pdf tiba jadi kena suspend oh coretax apa lah salah saya;ngeri bgawalnya faktur cetak pdf kena suspend oh coretax salah;Negative
33;01/08/2025;apalah kantor gue yg bos besarnya lagi di LN manager gue email terkait coretax pun ga direspon bjir lah;apa kantor bos besar ln manager email kait coretax direspon;Negative
34;01/08/2025;Sama persis kayak saya kasusnya Mbak sudah hari dari pertama bikin coretax sampai sekarang nggak bisa masuk dari akun PIC ke Badan ini pabrik harus bikin faktur pajak;persis kayak kasus coretax masuk akun pic badan pabrik faktur pajak;Negative
35;01/08/2025;Sudah selesai kak Di akun coretax tulisannya sudah teraktivasi sejak november Tapi di bagian dokumen gaada kartu e npwpnya Telfon ke call center sibuk terus ga pernah bisa terhubung;selesai akun coretax tulis teraktivasi november dokumen uang kartu e npwpnya telepon telepon center sibuk hubung;Negative
36;01/08/2025;Hari ini tgl besok tgl lusa tgl yg artinya harus bayar dan lapor PPh tapi sampe saat ini masih belum beres itungannya coretax bermasalah gabisa transaksi atas udah berisik karena gabisa nagih tahun baru masalah baru;tanggal besok tanggal lusa tanggal bayar lapor pph beres itungannya coretax masalah transaksi berisik nagih;Negative
37;01/08/2025;Silakan Wakil Wajib Pajak Badan mengajukan permintaan Kode Otorisasi Sertifikat Elektronik melalui akun coretax miliknya Orang Pribadi pada menu Portal Saya gt Permintaan Kode Otorisasi Sertifikat Elektronik Tks Taha;sila wakil wajib pajak badan aju minta kode otorisasi sertifikat elektronik akun coretax milik orang pribadi menu portal minta kode otorisasi sertifikat elektronik terima kasih taha;Neutral
38;01/08/2025;CORETAX BENERIN LAH BOSS FAKTUR PAJAK KAGAK BISA CREATE INI LOHH;coretax benerin boss faktur pajak create lohh;Negative
39;27/02/2025;Kak Alhamdulillah ini aku kelar dari KPP Jadinya supaya bisa akses coretax jadinya td aku dikasih passwordnya yg sementara Karena ga ada masuk ke email yg baru Aku mau update email barunya setelah kelar lapor ppn masa Januari dulu;alhamdulillah kelar kpp akses coretax kasih passwordnya masuk email baru email baru kelar lapor ppn januari;Positive
40;01/08/2025;Jika iya terkait kendala akun coretax PIC tidak ada opsi untuk impersonate sebagai Badan yang diwakili mohon dipastikan dengan login ke akun coretax badan pilih submenu Pihak Terkait;kait kendala akun coretax pic opsi impersonate badan wakil login akun coretax badan pilih submenu kait;Neutral
41;01/08/2025;Jadi untuk menandatangani dokumen elektronik pada layanan coretax akun WP Badan menggunakan Kode otorisasi Sertifikat Elektronik PIC Wakil Kuasa Orang Pribadi;menandatangani dokumen elektronik layan coretax akun wajib pajak badan kode otorisasi sertifikat elektronik pic wakil kuasa orang pribadi;Neutral
42;01/08/2025;Hari ini luar biasa bgt Mikirin coretax Buat invoice perusahaan adakali Kirim email invoice Pembayaran pph Lk Nov;banget mikirin coretax invoice usaha adakali kirim email invoice bayar pph lk nov;Negative
43;01/08/2025;maksud saya spt desember uda masuk tuh uda saya laporkan di web e faktur trus kenapa di suspend gambar ini buat fakturnya di menu efaktur coretax bg;maksud desember uda masuk tuh uda lapor situs e faktur suspend gambar faktur menu efaktur coretax abang;Negative
44;01/08/2025;Setau saya untuk pelaporan spt ppn desember msh pake web efaktur untuk coretax smua transaksi di januari dst;tau lapor ppn desember pakai situs efaktur coretax transaksi januari terus;Negative
45;01/08/2025;Mana djp skrg lagi lemoot mot mot bgt lg astaga ini pasti karena peralihan mau ke coretax ;djp lelet banget astaga alih coretax ;Negative
46;01/08/2025;udh tlp kring pajak x dan cuma disuruh cek berkala doang i mean masa iya disuruh mantengin website coretax mulu knp ga dari sistemnya yg dibenerin dulu kerjaan juga jadi mandek krn kehambat;telepon kring pajak x suruh periksa kala doang i mean suruh mantengin situs coretax sistem kerja mandek hambat;Negative
47;01/08/2025;Dari tadi pagi cm ngotak atik coretax perkara mau upload faktu pajak biji aja gak bisa bisa bikin banyak bgt kerjaan gua kepending coretaaxx;pagi otak atik coretax perkara upload faktu pajak biji banget kerja pending coretax;Negative
48;01/08/2025;Wallahi selalu pusing tiap ngurusin pajek Edan lah uda enak enak pake djponline efaktur malah dibikin coretax Yang mau log in aja kudu nungu hari Allahuu akbaarr uda ditungguin bos mau bayar pajek aja ngga bisa login w;wallahi pusing ngurusin pajek edan uda enak enak pakai djponline efaktur bikin coretax log masuk nungu allahuu akbaarr uda ditungguin bos bayar pajek login w;Negative
49;01/08/2025;Gue sampe pasrah bgt gara coretax Bahkan tadi djp online lemot nya menguras tenaga bgt;pasrah banget gara coretax djp online lelet nya uras tenaga banget;Negative
50;01/08/2025;Kalian yg sdh berhasil buat faktur keluaran di coretax itu log in pakai akun direktur sdh di daftarin jadi pic manteman;hasil faktur keluar coretax log masuk pakai akun direktur daftarin pic manteman;Neutral
51;01/08/2025;Terkait dengan PIC apabila Kakak berhasil login Kakak dapat menambahkan PIC melalui akun Coretax Badan Silakan klik menu Portal Saya gt Profil Saya gt Informasi Umum gt Klik Edit gt Pilih Pihak Terkait gt Klik tombol Edit pada PIC yang akan digantikan;kait pic hasil login pic akun coretax badan sila klik menu portal profil informasi klik edit pilih kait klik tombol edit pic ganti;Neutral
52;01/08/2025;Jika Kakak masih belum menerima email tsb silakan klik Lupa Kata Sandi utk membuat password baru akun coretax Kakak Pada kolom ID Pengguna inputkan NIK Kakak;terima email tsb sila klik lupa sandi password akun coretax kolom id guna inputkan nik;Neutral
53;01/08/2025;Sebagai tambahan informasi pelaporan SPT Masa PPN mulai Masa Pajak Januari dilakukan melalui Coretax Mohon maaf atas ketidaknyamanan terkait belum munculnya pilihan periode dan tahun pajak Januari untuk SPT Masa PPN pada akun Kakak;tambah informasi lapor ppn pajak januari coretax maaf ketidaknyamanan kait muncul pilih periode pajak januari ppn akun;Neutral
54;01/08/2025;Hai Kak Setelah pendaftaran NPWP berhasil Kakak lakukan di coretax dokumen dokumen terkait seharusnya akan langsung dikirim ke email Kakak salah satunya dokumen Surat Penerbitan Akun Wajib Pajak yg memuat username dan password untuk login ke t co EwhuklQXom;daftar npwp hasil laku coretax dokumen dokumen kait langsung kirim email salah satu dokumen surat terbit akun wajib pajak muat username password login;Neutral
55;01/08/2025;untuk wanita kawin yang kewajiban perpajakannya gabung dengan suami maka istri dapat mendaftar akun coretax dengan memilih Hanya registrasi Untuk buku panduan Tutorial Coretax Lebih lanjut dapat diakses di laman ya Kak Tks Mali;wanita kawin wajib paja gabung suami istri daftar akun coretax pilih registrasi buku pandu tutorial coretax akses laman terima kasih ;Neutral
56;01/08/2025;trus kita hari harus plonga plongo kah nungguin coretax bisa beroperasi maksimal kerjaan numpuk kali pakk minimal meringankan lah bukannya nyusahin;plonga plongo kah nunggu coretax operasi maksimal kerja tumpuk kali pakk minimal ringan nyusahin;Negative
57;01/08/2025;sehingga pemenuhan kewajiban pajaknya dilakukan oleh kepala keluarga menggunakan NPWP suami Apakah ayah Kakak suami Ibu sudah ber NPWP Apabila iya maka ibu Kakak dapat menggunakan NPWP ayah Kakak Terkait akses ke Coretax;penuh wajib pajak kepala keluarga npwp suami ayah suami ber npwp npwp ayah kait akses coretax;Neutral
58;01/08/2025;Ngomongin coretax w kesel bangett loading sejam lebih muter muter doang padahal udah step trakhir;bicara coretax w kesel tunggu jam muter muter doang step;Negative
59;01/08/2025;Hai Kak Untuk pembuatan faktur pajak ke kawasan bebas di Coretax masih perlu meng input nomor PPBJ di bagian Dokumen Transaksi gt Dokumen Pendukung dengan memasukkan nomor AJU saja Selanjutnya validasi akan dilakukan secara otomatis oleh sistem Tks Mali;buat faktur pajak kawasan bebas coretax meng input nomor ppbj dokumen transaksi dokumen dukung masuk nomor aju validasi otomatis sistem terima kasih mal;Neutral
60;01/08/2025;Dari pagi sampe sore ngadepin aplikasi coretax susah bgt buat masuk juga kerjaan sampe pending semua Mau create faktur pajak juga susahnya minta ampun tolong diperbaiki dong servernya please banget ini mah;pagi sore ngadepin aplikasi coretax susah banget masuk kerja tunda create faktur pajak susah ampun tolong baik servernya tolong banget mah;Negative
61;01/08/2025;Bener lg td siang bantu bantu regist coretax mana kswp di lpse jadinya tdk valid kek ee pdhl mau upload tender Paniknya sih ada;siang bantu bantu regist coretax kswp lpse valid kayak ee upload tender panik;Negative
62;01/08/2025;Kemudian pada aplikasi apa yang sedang dibuka Apakah DJP Online atau Coretax Mohon menjelaskan kronologisnya dan apabila berkenan mohon menampilkan tangkapan layar ya Kak Tks Mali;aplikasi buka djp online coretax kronologis kenan tampil tangkap layar terima kasih mal;Neutral
63;01/08/2025;Harusnya BUMN yang uji coba coretax dulu Atau tunjuklah satu perusahaan besar kayak Indofood untuk pakai coretax selama beberapa bulan Jangan langsung jebret negara Masa ga ada uji cobanya dulu Emangnya kita kelinci percobaan Mau bikin FP ga bisa semprul banget;bumn uji coba coretax tunjuk usaha kayak indofood pakai coretax langsung jebret negara uji coba emang kelinci coba fp semprul banget ;Negative
64;01/08/2025;kalo coretax masih error harusnya dikasih opsi dulu kalo mau bikin faktur balik ke efaktur dulu dong stress aku mikirin coretax;coretax error kasih opsi faktur efaktur stres mikirin coretax;Negative
65;01/08/2025;Hai Kak Untuk penandatangan dokumen perpajakan secara elektronik setiap WP orang pribadi harus mengajukan Kode Otorisasi DJP atau mendaftarkan Sertifikat Digital di di portal Coretax;penandatangan dokumen paja elektronik wajib pajak orang pribadi aju kode otorisasi djp daftar sertifikat digital portal coretax;Neutral
66;27/05/2025;di pukul akhirnya saya bisa menyelesaikan rekapan coretax sehingga tidak ada selisih dan PASS YA ALLAH BANGGA AKUTUHH;selesai rekap coretax selisih pass allah bangga akutuhh;Positive
67;01/08/2025;min pelaporan pajak pph masa desember masih bisa menggunakan djp online apa harus coretax Jika coretax apakah perlu upload dan buat ebupot pph nya;admin lapor pajak pph desember djp online coretax coretax upload ebupot pph nya;Neutral
68;01/08/2025;Djp kayak lagi bercanda sama WP Mereka yang menggaungkan coretax dari tahun lalu tetapi saat implementasi malah banyak error dan bug;djp kayak canda wajib pajak gaung coretax implementasi error bug;Negative
69;01/08/2025;masih belum bisa juga pengajuan SKBPPN melalui coretax kalau mengacu pada pmk pengajuan skbppn hanya melalui insw ini gimana ya saya mau ajuin skbppn juga gak bisa dgn ket Server Error;aju skbppn coretax acu pmk aju skbppn insw ajuin skbppn ket server error;Negative
70;01/08/2025;Hai Kak Mohon maaf atas ketidaknyamanannya Apakah masih mengalami kendala yang sama Jika ya silakan coba log out Coretax terlebih dahulu lakukan clear cache and cookies atau gunakan mode samaran incognito pada chrome Coba secara berkala ya Kak Tks Stia;maaf ketidaknyamanannya alami kendala sila coba log coretax laku cache and cookies mode samar incognito chrome coba kala terima kasih stia;Neutral
71;01/08/2025;Hai Kak Setelah pendaftaran NPWP berhasil pada coretax seharusnya pada email WP menerima kartu NPWP elektronik SKT SK Aktivasi NIK yang dapat digunakan untuk akses coretax Jika belum menerima email tsb dan sudah dipastikan email sudah terupdate;daftar npwp hasil coretax email wajib pajak terima kartu npwp elektronik sakit sk aktivasi nik akses coretax terima email tsb email baru;Neutral
72;01/08/2025;Coretax msh eror pdhl ini udh tgl Kasian yg TOP nya tuh sekian hari dari tgl submit invoice Jd mundur deh itu pembayaran nya karna faktur pajaknya ga bisa dibikin;coretax error tanggal kasi top nya tuh sekian tanggal submit invoice mundur bayar nya faktur pajak bikin;Negative
73;01/08/2025;Sampai saat tempatku hanya bikin billing yg bisa yang lain coretax mendem;tempat billing la coretax mendem;Negative
74;01/08/2025;belum bisa masuk coretax Pak saya sudah bisa coba wa ke kpp pratama sby sawahan kemarin saya dibantu seperti buat npwp baru tapi pakai no yg lama akhirnya bisa;masuk coretax coba wa kpp pratama sby sawah kemarin bantu npwp pakai nomor;Neutral
75;01/08/2025;Coretax sebenernya bagus sih semua urusan pajak bisa diselesaikan lewat satu platform tapi ya begitu;coretax sebenernya bagus urus pajak selesai platform;Neutral
76;01/08/2025;Pajak gw cm bayar buat orang bego begini Nyesel banget gw mana sistem coretax masalah terus;pajak bayar orang bego sesal banget sistem coretax;Negative
77;01/08/2025;Coretax bermasalah terus udh bisa bikin faktur tp customer masih om going aplikasi penagihan nya udh seminggu mangkrak ga bisa nagih mana mau bayar karyawan imbas dr coretax Ya Allah dzolim banget;coretax masalah faktur konsumen om going aplikasi tagih nya minggu mangkrak nagih bayar karyawan imbas coretax allah dzolim banget;Negative
78;01/08/2025;Untung taun ini coretax belom dipake buat lapor tahunan OP dan Badan Bayangin klo udah;untung coretax dipake lapor tahun op badan bayangin;Negative
79;01/08/2025;Anggaran hampir T cuma nyusahin rakyat Indonesia doang Coretax kalo jadi orang pasti abis tuh digebukin wajib pajak seindo;anggar nyusahin rakyat indonesia doang coretax orang habis tuh digebukin wajib pajak seindo;Negative
80;01/08/2025;Dana T buat sisten coretax tapi kualitas busuk Masak tiap login djp harus kode otp terus mau buka coretax selalu down error Harusnya kemenkeu ma dirjen pajak kalau punya moral sudah mundur diri;dana sisten coretax kualitas busuk masak login djp kode otp buka coretax down error kemenkeu ma dirjen pajak moral mundur;Negative
81;01/08/2025;Kemarin daftarin online NPWP paman Memang bener coretax merepotkan sekali selalu stuck di step ke Ahirnya menyerah jalur online langsung daftar ke kantor pajak Epicnya petugas di kantor juga gabisa;kemarin daftarin online npwp paman coretax repot stuck step ahirnya serah jalur online langsung daftar kantor pajak epicnya tugas kantor;Negative
82;01/08/2025;Coretax masih ngebugs ga sih cetak faktur nya cacat ga ada nama sm alamat Banyak vendor juga belum bisa bikin faktur karna eror gini Bolak balik ke KPP tapi tetep sama aja orang KPP nya juga bingung sm web coretax ini;coretax ngebugs cetak faktur nya cacat nama alamat vendor faktur error gin bolak kpp tetep orang kpp nya bingung situs coretax;Negative
83;28/08/2025;pagi ini aku sampe buka tab coretax tapi cuma blank putih tapi barusan buka udh aman ;pagi buka tab coretax kosong putih barusan buka aman ;Positive
84;01/08/2025;adaa kak kemarin pas awal rilis si coretax passphrase dibuat ketika aktivasi akun nah ini tuh gak ada ketentuan terkait karakter khusus eh tapi pas mau buat sertifikat perlu cinfirm passphrase malah gak bisa tapi gak diinfo salahnya dimana wkwkwk;kemarin pas rilis coretax passphrase aktivasi akun tuh tentu kait karakter khusus eh pas sertifikat cinfirm passphrase info salah mana;Neutral
85;01/08/2025;Saya tanya untuk impor data lama ke coretax tidak ns harus input baru kata petugasnya;impor data coretax ns input tugas;Neutral
86;01/08/2025;Password yang aman itu justru harus pakai simbol karakter unik ehh ini malah gak boleh dipakai Mending pecat aja dev kalian Masa institusi yang paling gede nyedot uang rakyat gaji pegawainya juga gede gede bikin web sering error saat input coretax Hadehh;password aman pakai simbol karakter unik ehh pakai pecat developer institusi gede sedot uang rakyat gaji pegawai gede gede situs error input coretax hadehh;Negative
87;01/08/2025;oke skr kita konsentrasi ke pajak yg bernama coretax kabarnya masih ada error ya coretax sebab saya mau bikin laporan;oke skr konsentrasi pajak nama coretax kabar error coretax lapor;Negative
88;01/08/2025;walaupun dari BPK amp BPKPnya aman silahkan diproses program coretax;bpkpnya aman silah proses program coretax;Neutral
89;01/08/2025;YA ALLAH CORETAX PAGI INI AKU BLM NYOBA LAGI TAPI AKU GAMAUUWW;allah coretax pagi coba tetap tidak bisa;Negative
90;01/08/2025;Hai Kak Mohon maaf atas ketidaknyamanannya yang dialami Saat ini fitur Coretax dalam proses peningkatan kualitas layanan Bila Kakak ingin melakukan perubahan data berupa email silakan menghubungi Kring Pajak livechat pada laman t co qmIuIUduC Tks Zali;maaf ketidaknyamanannya alami fitur coretax proses tingkat kualitas layan ubah data email sila hubung kring pajak livechat laman terima kasih zal;Neutral
91;01/08/2025;Hai Kak Passphrase dapat dibuat kembali melalui akun Coretax gt Portal Saya gt Permohonan Kode Otorisasi Sertifikat Digital gt Lengkapi data data yg diminta Pada bagian Rincian Sertifikat gt Jenis Sertifikat Digital silakan pilih Kode Otorisasi DJP gt Isikan passphrase Tks Zali;passphrase akun coretax portal mohon kode otorisasi sertifikat digital lengkap data data rincian sertifikat jenis sertifikat digital sila pilih kode otorisasi djp isi passphrase terima kasih zal;Neutral
92;01/08/2025;Hai Kak Mohon maaf atas ketidaknyamanan yang dialami Apakah masih terkendala Jika iya mohon berkenan untuk mencoba secara berkala ya Kak Tutorial pembuatan faktur pajak melalui Coretax bisa disimak melalui kanal youtube berikut t co muNzQyXR Tks Zali;maaf ketidaknyamanan alami kendala kenan coba kala tutorial buat faktur pajak coretax simak kanal youtube  terima kasih zal;Neutral
93;01/08/2025;Silakan Kakak coba hal berikut sebelum akses situs coretax Clear cookies amp cache pada browser Gunakan mode incognito private window Gunakan browser perangkat koneksi internet lain Coba berkala ya Tks Zali;sila coba akses situs coretax cookies cache browser mode incognito private window browser perangkat koneksi internet la coba kala terima kasih zal;Neutral
94;01/08/2025;Hai Kak Mohon maaf atas ketidaknyamanannya yang dialami Saat ini fitur Coretax dalam proses peningkatan kualitas layanan Bila Kakak ingin melakukan perubahan data berupa email silakan menghubungi Kring Pajak Livechat pada laman t co qmIuIUcWb Tks Zali;maaf ketidaknyamanannya alami fitur coretax proses tingkat kualitas layan ubah data email sila hubung kring pajak livechat terima kasih zal;Neutral
95;01/08/2025;Selamat malam kak Pastikan sudah lapor SPT Tahunan tahun terakhir dan tidak memiliki tunggakan pajak yaa Info lebih lanjut silakan ke helpdesk coretax KPP terdekat;selamat malam pasti lapor tahun milik tunggak pajak ya informasi sila helpdesk coretax kpp dekat;Neutral
96;01/08/2025;jika dapat NPWP cabang apakah bisa diinput FP keluaran di coretax;npwp cabang diinput fp keluar coretax;Neutral
97;01/08/2025;Silakan ubah data wajib pajak melalui akun coretax ya Kak Silakan ke portal saya gt perubahan data gt identitas WP gt pada menu KLU utama silakan Kakak centang perbarui kode ekonomi utama silakan search ubah kode KLU Tks Fauz;sila ubah data wajib pajak akun coretax sila portal ubah data identitas wajib pajak menu klu utama sila centang baru kode ekonomi utama sila search ubah kode klu terima kasih fauz;Neutral
98;01/08/2025;Nanti Senin upacara tapi lagu wajibnya diganti mars coretax;senin upacara lagu wajib ganti mars coretax;Neutral
99;15/01/2025;Kemaren dibuat pening sama settingan yang dibalikin ke di awal bulan sekarang coretax KAPAN BENERNYA KOCAAK bisa bisa bawa bantal aja gua ke kantor pas faktur pajak nya udah bisa kerjaan gua numpuk banget;kemarin pening settingan dibalikin coretax benernya kocaak bawa bantal kantor pas faktur pajak nya kerja tumpuk banget plhdhijb;Negative
100;15/01/2025;Kalau NIK nya duplikasi keliatannya karena udah kecatat kedaftar kak Coba aktivasi akun deh nanti dikirim email user password buat masuk coretax Kalau dah bisa masuk bisa download npwp di menu portal gt profil gt dokumen gt hasilkan dokumen;nik nya duplikasi liat catat daftar coba aktivasi akun kirim email konsumen password masuk coretax masuk unduh npwp menu portal profil dokumen hasil dokumen;Neutral
101;15/01/2025;Kalau buat sendiri bukan perusahaan coba aktivasi akun kak Nanti dikirim email isinya user pass buat login coretax Kalau udah bisa masuk bisa ke menu portal saya gt profil saya gt dokumen gt hasilkan dokumen Nah disitu nanti bisa download NPWP nya;usaha coba aktivasi akun kirim email isi konsumen pass login coretax masuk menu portal profil dokumen hasil dokumen situ unduh npwp nya;Neutral
102;15/01/2025;min faktur pajak keluaran saya di coretax statusnya INVALID SAVE maksudnya apa ya itu apa yg perlu diperbaika;admin faktur pajak keluar coretax status invalid save maksud diperbaika;Negative
103;15/01/2025;bayangin jam segini gw sm bos masih bahas coretax jam segini gw suruh minta sertel ulang tu pak bos gw;bayangin jam bos bahas coretax jam suruh sertel ulang tu bos;Negative
